Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method
4018,Handbag,4619,02/05/2023,,Credit Card
4115,Tunic,2456,07/11/2023,2,Credit Card
4019,Tank Top,2102,03/23/2023,4.1,Cash
4097,Leggings,3126,03/15/2023,3.2,Cash
3997,Wallet,3003,11/27/2022,4.7,Cash
4080,Onesie,2914,12/11/2022,4.5,Credit Card
4055,Jacket,2571,07/08/2023,1.3,Cash
3973,Trousers,2419,11/10/2022,4.6,Cash
4044,Jeans,4771,05/19/2023,4.1,Cash
4010,Loafers,4233,06/11/2023,,Credit Card
4108,Slippers,2356,03/19/2023,4.8,Credit Card
4067,Bowtie,4418,11/21/2022,3.4,Cash
4068,Pajamas,3728,12/09/2022,,Credit Card
4102,Trench Coat,2130,01/29/2023,4.8,Cash
4044,Handbag,2122,08/01/2023,1.2,Credit Card
4096,Poncho,2383,04/10/2023,,Credit Card
4017,Gloves,2895,07/17/2023,3.6,Credit Card
4001,Trench Coat,2952,06/13/2023,2.2,Cash
3976,Slippers,4069,06/18/2023,4.9,Credit Card
4103,Romper,4465,11/21/2022,,Credit Card
4081,T-shirt,2108,03/25/2023,,Cash
3986,Gloves,4298,04/05/2023,4.2,Cash
4108,Jeans,2814,02/11/2023,4.4,Credit Card
4109,Flip-Flops,4932,12/20/2022,4,Credit Card
4075,Tunic,4661,04/12/2023,1.2,Credit Card
4040,Shorts,4872,08/25/2023,3.8,Cash
4099,Blazer,4232,10/25/2022,2.7,Credit Card
3981,Boots,3718,09/10/2023,2.8,Credit Card
4070,Poncho,2902,08/04/2023,4.9,Cash
4002,Belt,3839,05/26/2023,1.8,Cash
4035,Tunic,4413,12/23/2022,1.2,Credit Card
4060,Boots,3139,01/26/2023,3.4,Credit Card
3974,Flip-Flops,2026,04/16/2023,4,Cash
4110,Hoodie,2653,10/11/2022,4.2,Credit Card
3984,Sweater,4859,12/19/2022,5,Cash
4109,Blouse,3731,03/02/2023,,Credit Card
4054,Swimsuit,3393,02/28/2023,4.3,Cash
4040,Kimono,3138,05/12/2023,,Credit Card
4083,Cardigan,2636,04/09/2023,1.7,Cash
4122,Socks,2881,02/22/2023,,Credit Card
3972,Pants,3378,05/06/2023,3.6,Cash
3980,Pajamas,2418,05/26/2023,2.2,Credit Card
4012,Scarf,2379,05/29/2023,2.9,Credit Card
3992,Backpack,101,12/13/2022,1.3,Credit Card
4105,Dress,164,10/20/2022,3.2,Credit Card
4119,Boots,21,04/03/2023,3.9,Cash
3957,Camisole,147,11/04/2022,4.7,Cash
3994,Loafers,,05/16/2023,3.9,Cash
3995,Bowtie,30,11/23/2022,4.1,Cash
4072,Poncho,170,10/15/2022,3.6,Credit Card
4093,Trousers,102,05/25/2023,2.1,Cash
